product_name,gds_lclsf_cd,gds_lclsf_nm,gds_mclsf_cd,gds_mclsf_nm,gds_sclsf_cd,gds_sclsf_nm,match_keyword,match_note
사과,06,과실류,01,사과,00,사과,사과,
복분자,19,약용작물류,33,복분자,01,복분자(일반),복분자,
살구,06,과실류,10,살구,01,살구(일반),살구,
마늘,12,조미채소류,09,마늘,98,마늘(수입),마늘,
냉동블루베리,06,과실류,59,블루베리,01,블루베리(일반),블루베리,
다슬기,67,활 내수면기타,09,다슬기,01,다슬기(일반),다슬기,
체리,06,과실류,57,체리,01,체리(일반),체리,
야콘,05,서류,03,야콘,01,야콘(일반),야콘,
참외10kg,08,과일과채류,02,참외,00,참외(일반),참외,
마늘쫑,12,조미채소류,09,마늘,07,마늘쫑,마늘쫑,
홍감자,05,서류,01,감자,18,홍감자,홍감자,
매실10kg,06,과실류,25,매실,01,매실(일반),매실,
오징어,89,건제품,22,오징어,01,오징어(일반),오징어,
멜론,08,과일과채류,05,멜론,00,멜론(일반),멜론,
토마토,08,과일과채류,03,토마토,01,토마토(일반),토마토,
아몬드,06,과실류,31,아몬드,01,아몬드(일반),아몬드,
병아리콩,03,두류,10,병아리콩,01,병아리콩(일반),병아리콩,
망고,06,과실류,36,망고,01,망고(일반),망고,
복숭아,06,과실류,04,복숭아,00,복숭아(일반),복숭아,
고구마,05,서류,02,고구마,00,고구마(일반),고구마,
오이,09,과채류,01,오이,00,오이(일반),오이,
자두,06,과실류,08,자두,00,자두,자두,
호랑이콩,03,두류,01,콩,19,호랑이콩,호랑이콩,
참기름,91,농림가공,05,유지,01,참기름,참기름,
꽃게,93,수산가공,02,조미가공,08,꽃게,꽃게,
오렌지,06,과실류,18,오렌지,00,오렌지(일반),오렌지,
옥수수,04,잡곡류,01,옥수수,00,옥수수(일반),옥수수,
미숫가루,91,농림가공,06,전분 및 사료제조,15,미숫가루,미숫가루,
양파,12,조미채소류,01,양파,01,양파(일반),양파,
쌀,01,미곡류,03,쌀,14,쌀(쇄미),쌀,
청매실,06,과실류,25,매실,02,청매실,청매실,
삼겹살,43,국내산육류,04,돈육,27,삼겹살,삼겹살,
호두,07,수실류,04,호두,01,호두(일반),호두,
열무김치,91,농림가공,04,절임식품,08,열무김치,열무김치,
당근,11,근채류,03,당근,01,당근(일반),당근,
꿀,47,기타동물생산물,03,꿀벌,98,꿀(수입),꿀,
딸기,08,과일과채류,04,딸기,00,딸기(일반),딸기,
방울토마토,08,과일과채류,06,방울토마토,01,방울토마토(일반),방울토마토,
전복,89,건제품,40,전복,01,전복(일반),전복,
개복숭아,06,과실류,04,복숭아,73,개복숭아,개복숭아,
홍매실,06,과실류,25,매실,03,홍매실,홍매실,
갑오징어,64,활 해면연체류,01,갑오징어,98,갑오징어(수입),갑오징어,
병어,61,활 해면어류,39,병어,02,병어,병어,
들기름,91,농림가공,05,유지,02,들기름,들기름,
문어,64,활 해면연체류,04,문어,98,문어(수입),문어,
장어,61,활 해면어류,59,장어,98,장어(수입),장어,
찰옥수수,04,잡곡류,01,옥수수,02,찰옥수수,찰옥수수,
무늬오징어,64,활 해면연체류,01,갑오징어,01,무늬오징어,무늬오징어,
매실,06,과실류,25,매실,01,매실(일반),매실,
쌀10kg,01,미곡류,03,쌀,14,쌀(쇄미),쌀,
쌀20kg,01,미곡류,03,쌀,14,쌀(쇄미),쌀,
수박,08,과일과채류,01,수박,01,수박(일반),수박,
오디,06,과실류,22,오디,01,오디(일반),오디,
감자,05,서류,01,감자,00,감자(일반),감자,
산딸기,08,과일과채류,04,딸기,09,산딸기,산딸기,
참외,08,과일과채류,02,참외,00,참외(일반),참외,
계란,47,기타동물생산물,02,조란,10,계란,계란,
블루베리,06,과실류,59,블루베리,01,블루베리(일반),블루베리,
