product_name,auction_date,market_code,market_name,weighted_avg_auction_price,high_price,low_price,total_trade_qty,row_count,valid_row_count,outlier_count,corp_count,raw_high_price,raw_low_price
감자,2026-05-13,220001,대구북부,38033.8,62000.0,8000.0,118070.0,140,137,3,2,63000.0,6500.0
감자,2026-05-13,110001,서울가락,44005.8,58000.0,10000.0,84820.0,72,70,2,1,60000.0,8500.0
감자,2026-05-13,110008,서울강서,46696.9,56500.0,19000.0,28900.0,44,42,2,2,58000.0,17500.0
감자,2026-05-13,340101,천안,33195.0,48000.0,13800.0,4780.0,13,11,2,1,55200.0,13000.0
감자,2026-05-13,380303,창원내서,34365.7,45000.0,18000.0,4260.0,27,27,0,1,45000.0,18000.0
감자,2026-05-13,230003,인천삼산,37055.8,46000.0,12000.0,3940.0,15,15,0,1,46000.0,12000.0
감자,2026-05-13,370401,안동,30552.5,33100.0,24100.0,400.0,5,5,0,1,33100.0,24100.0
감자,2026-05-13,380401,진주,29896.7,58000.0,7000.0,300.0,10,9,1,1,58000.0,2500.0
감자,2026-05-13,380101,창원팔용,45200.0,45200.0,45200.0,40.0,1,1,0,1,45200.0,45200.0
고구마,2026-05-13,220001,대구북부,24080.0,39000.0,11500.0,26020.0,89,87,2,1,40000.0,10000.0
고구마,2026-05-13,380401,진주,24986.5,33000.0,13000.0,1480.0,9,9,0,1,33000.0,13000.0
냉동블루베리,2026-05-13,110001,서울가락,33701.3,60000.0,20000.0,12522.7,679,669,10,5,75000.0,15000.0
냉동블루베리,2026-05-13,220001,대구북부,32680.2,41000.0,18500.0,1835.0,150,118,32,3,46500.0,2500.0
냉동블루베리,2026-05-13,210009,부산반여,30509.7,41200.0,15600.0,1697.0,95,92,3,3,276000.0,15500.0
냉동블루베리,2026-05-13,210001,부산엄궁,31133.2,38800.0,21200.0,1384.0,108,104,4,3,52800.0,18000.0
냉동블루베리,2026-05-13,311201,구리,32464.5,42000.0,20000.0,1098.0,74,73,1,3,42500.0,20000.0
냉동블루베리,2026-05-13,250001,대전오정,33593.4,42000.0,20100.0,862.0,65,63,2,2,43000.0,18100.0
냉동블루베리,2026-05-13,240001,광주각화,27689.7,36000.0,20000.0,775.0,62,61,1,3,38000.0,20000.0
냉동블루베리,2026-05-13,110008,서울강서,30871.6,37000.0,23000.0,662.0,46,44,2,3,40000.0,20000.0
냉동블루베리,2026-05-13,230001,인천남촌,30845.7,38000.0,21000.0,661.0,43,41,2,2,42000.0,18000.0
냉동블루베리,2026-05-13,240004,광주서부,3392.8,4500.0,1500.0,550.0,116,60,56,1,49000.0,1500.0
냉동블루베리,2026-05-13,370101,포항,25898.4,40800.0,14500.0,386.5,28,26,2,2,44100.0,14100.0
냉동블루베리,2026-05-13,380101,창원팔용,29237.3,40000.0,18000.0,365.0,28,27,1,2,43100.0,18000.0
냉동블루베리,2026-05-13,230003,인천삼산,31091.7,36000.0,28000.0,327.0,29,27,2,2,39000.0,23000.0
냉동블루베리,2026-05-13,250003,대전노은,35424.7,43200.0,17000.0,231.0,23,21,2,2,48000.0,16000.0
냉동블루베리,2026-05-13,380303,창원내서,31289.3,38000.0,22800.0,224.0,31,29,2,2,40500.0,22300.0
냉동블루베리,2026-05-13,380401,진주,33593.1,44600.0,23300.0,217.0,28,26,2,2,45000.0,17000.0
냉동블루베리,2026-05-13,340101,천안,33164.0,37400.0,26000.0,197.0,15,13,2,2,38000.0,22600.0
냉동블루베리,2026-05-13,310101,수원,32825.8,36700.0,26000.0,178.0,17,16,1,3,38500.0,26000.0
냉동블루베리,2026-05-13,310401,안양,32251.5,37000.0,26000.0,169.0,14,12,2,1,40000.0,25000.0
