product_name,gds_lclsf_cd,gds_lclsf_nm,gds_mclsf_cd,gds_mclsf_nm,gds_sclsf_cd,gds_sclsf_nm,match_keyword,match_note
복분자,19,약용작물류,33,복분자,01,복분자(일반),복분자,
오이,09,과채류,01,오이,00,오이(일반),오이,
사과,06,과실류,01,사과,00,사과,사과,
토마토,08,과일과채류,03,토마토,01,토마토(일반),토마토,
망고,06,과실류,36,망고,01,망고(일반),망고,
무늬오징어,64,활 해면연체류,01,갑오징어,01,무늬오징어,무늬오징어,
냉동블루베리,06,과실류,59,블루베리,01,블루베리(일반),블루베리,
체리,06,과실류,57,체리,01,체리(일반),체리,
병아리콩,03,두류,10,병아리콩,01,병아리콩(일반),병아리콩,
열무김치,91,농림가공,04,절임식품,08,열무김치,열무김치,
홍감자,05,서류,01,감자,18,홍감자,홍감자,
아귀포,89,건제품,48,아귀,01,아귀포,아귀포,
오렌지,06,과실류,18,오렌지,00,오렌지(일반),오렌지,
마늘,12,조미채소류,09,마늘,98,마늘(수입),마늘,
쌀,01,미곡류,03,쌀,14,쌀(쇄미),쌀,
미숫가루,91,농림가공,06,전분 및 사료제조,15,미숫가루,미숫가루,
멜론,08,과일과채류,05,멜론,00,멜론(일반),멜론,
아몬드,06,과실류,31,아몬드,01,아몬드(일반),아몬드,
참기름,91,농림가공,05,유지,01,참기름,참기름,
갑오징어,64,활 해면연체류,01,갑오징어,98,갑오징어(수입),갑오징어,
누룽지,91,농림가공,10,기타식품,19,누룽지,누룽지,
당근,11,근채류,03,당근,01,당근(일반),당근,
땅콩,16,특용작물류,03,땅콩,01,땅콩(일반),땅콩,
다슬기,67,활 내수면기타,09,다슬기,01,다슬기(일반),다슬기,
양파,12,조미채소류,01,양파,01,양파(일반),양파,
딸기,08,과일과채류,04,딸기,00,딸기(일반),딸기,
삼겹살,43,국내산육류,04,돈육,27,삼겹살,삼겹살,
자두,06,과실류,08,자두,00,자두,자두,
꿀,47,기타동물생산물,03,꿀벌,98,꿀(수입),꿀,
청매실,06,과실류,25,매실,02,청매실,청매실,
옥수수,04,잡곡류,01,옥수수,00,옥수수(일반),옥수수,
개복숭아,06,과실류,04,복숭아,73,개복숭아,개복숭아,
들기름,91,농림가공,05,유지,02,들기름,들기름,
고구마,05,서류,02,고구마,00,고구마(일반),고구마,
홍매실,06,과실류,25,매실,03,홍매실,홍매실,
메밀국수,91,농림가공,07,곡물제조,36,메밀국수,메밀국수,
명란젓,93,수산가공,03,젓갈,19,명란젓,명란젓,
방울토마토,08,과일과채류,06,방울토마토,01,방울토마토(일반),방울토마토,
살구,06,과실류,10,살구,01,살구(일반),살구,
호두,07,수실류,04,호두,01,호두(일반),호두,
능이버섯,17,버섯류,21,능이버섯,01,능이버섯(일반),능이버섯,
매실,06,과실류,25,매실,01,매실(일반),매실,
쌀10kg,01,미곡류,03,쌀,14,쌀(쇄미),쌀,
쌀20kg,01,미곡류,03,쌀,14,쌀(쇄미),쌀,
수박,08,과일과채류,01,수박,01,수박(일반),수박,
복숭아,06,과실류,04,복숭아,00,복숭아(일반),복숭아,
참외,08,과일과채류,02,참외,00,참외(일반),참외,
산딸기,08,과일과채류,04,딸기,09,산딸기,산딸기,
꽃게,93,수산가공,02,조미가공,08,꽃게,꽃게,
블루베리,06,과실류,59,블루베리,01,블루베리(일반),블루베리,
참외10kg,08,과일과채류,02,참외,00,참외(일반),참외,
계란,47,기타동물생산물,02,조란,10,계란,계란,
마늘쫑,12,조미채소류,09,마늘,07,마늘쫑,마늘쫑,
감자,05,서류,01,감자,00,감자(일반),감자,
오디,06,과실류,22,오디,01,오디(일반),오디,
